Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
374.191,9.74087,3.33333,1.16462,1.35577,5.68406,0.267035
357.241,9.78181,3.33333,1.15082,1.35651,5.73787,0.255413
203.55,9.66659,3.33333,1.14637,1.36621,5.61234,0.295099
282.075,9.56393,3.33333,1.16803,1.35242,5.51894,0.274244
199.356,9.71473,3.33333,1.15182,1.35862,5.664,0.305603
282.236,9.77565,3.33333,1.15572,1.35598,5.74175,0.258498
276.434,9.70463,3.33333,1.16376,1.35306,5.65381,0.283285
308.015,9.73263,3.33333,1.15944,1.36792,5.66626,0.306568
301.034,9.72997,3.33333,1.14964,1.36027,5.68054,0.264293
191.797,9.79585,3.33333,1.14065,1.34553,5.78979,0.239349
228.266,9.62755,3.33333,1.14675,1.35553,5.59722,0.291921
282.735,9.80938,3.33333,1.15783,1.35231,5.7841,0.211507
157.665,9.54639,3.33333,1.16386,1.34904,5.49458,0.322064
200.354,9.59806,3.33333,1.12697,1.3493,5.61093,0.287851
481.315,9.66473,3.33333,1.12296,1.35688,5.67706,0.227049
724.355,9.88271,3.33333,1.15767,1.35777,5.85365,0.180265
531.83,9.81012,3.33333,1.15413,1.35371,5.784,0.281003
318.53,9.88821,3.33333,1.16629,1.35837,5.84295,0.271571
597.188,9.87237,3.33333,1.16236,1.35844,5.83966,0.201734
361.559,9.72345,3.33333,1.1609,1.35484,5.69074,0.246284
197.506,9.68281,3.33333,1.14072,1.35368,5.65649,0.272098
355.009,9.74386,3.33333,1.14029,1.36303,5.7192,0.26146
379.513,9.78752,3.33333,1.1737,1.35946,5.71012,0.217918
381.796,9.80063,3.33333,1.17468,1.35827,5.73005,0.249325
157.322,9.80277,3.33333,1.16479,1.36697,5.72629,0.308169
80.8672,9.68029,3.33333,1.15693,1.35776,5.63306,0.336039
204.646,9.69664,3.33333,1.16469,1.35318,5.64421,0.330195
212.065,9.68327,3.33333,1.15775,1.34961,5.65202,0.277474
208.107,9.71494,3.33333,1.16204,1.36135,5.67118,0.30351
407.904,9.82795,3.33333,1.14416,1.36746,5.78596,0.244082
281.615,9.86375,3.33333,1.14895,1.37856,5.79476,0.2701
83.1279,9.46216,3.33333,1.15378,1.35794,5.40279,0.37465
159.949,9.42816,3.33333,1.14876,1.36653,5.35576,0.305601
668.12,9.94162,3.33333,1.1833,1.35575,5.86152,0.21062
358.991,9.76156,3.33333,1.18303,1.34864,5.70162,0.272102
529.445,9.92409,3.33333,1.18899,1.35138,5.86654,0.270094
449.808,9.7649,3.33333,1.15156,1.34367,5.76081,0.258216
606.127,9.97445,3.33333,1.16882,1.35916,5.92811,0.234986
539.709,10.0156,3.33333,1.16693,1.36771,5.92031,0.22082
673.356,9.8353,3.33333,1.15439,1.36639,5.77988,0.18706
358.476,9.79015,3.33333,1.14928,1.36892,5.73719,0.250722
228.692,9.36809,3.33333,1.1333,1.35806,5.35987,0.342889
331.042,9.79122,3.33333,1.15664,1.35328,5.77301,0.248791
249.568,9.74018,3.33333,1.15351,1.34362,5.73501,0.254367
434.681,9.93328,3.33333,1.14952,1.36376,5.88623,0.200982
391.906,9.82,3.33333,1.13698,1.36958,5.79504,0.230842
804.526,9.95534,3.33333,1.17265,1.35846,5.90043,0.168285
261.904,9.71329,3.33333,1.16765,1.35581,5.65109,0.252972
242.468,9.77909,3.33333,1.16639,1.36096,5.71511,0.228036
332.793,9.72183,3.33333,1.16268,1.3529,5.67586,0.220178
255.377,9.6192,3.33333,1.1563,1.35267,5.56499,0.357424
115.911,9.62185,3.33333,1.15539,1.35706,5.57007,0.340389
113.946,9.50497,3.33333,1.14684,1.35928,5.45843,0.390505
162.895,9.56219,3.33333,1.14398,1.3502,5.54813,0.349752
185.106,9.63596,3.33333,1.17184,1.35477,5.56821,0.292758
300.056,9.90149,3.33333,1.17877,1.35467,5.83275,0.233451
234.401,9.6974,3.33333,1.13745,1.35642,5.68831,0.250148
414.742,9.89149,3.33333,1.16055,1.35402,5.84786,0.280818
272.855,9.78704,3.33333,1.16427,1.35619,5.72347,0.276648
281.878,9.51803,3.33333,1.14513,1.34202,5.525,0.30449
103.173,9.53936,3.33333,1.15535,1.35578,5.47985,0.386497
318.957,9.70276,3.33333,1.14776,1.35257,5.69109,0.28399
332.407,9.59726,3.33333,1.15576,1.35816,5.5517,0.283012
104.425,9.68554,3.33333,1.15354,1.35146,5.6518,0.321337
130.08,9.66448,3.33333,1.1696,1.35123,5.59413,0.352982
182.389,9.43763,3.33333,1.16165,1.35169,5.38461,0.352861
360.365,9.8275,3.33333,1.16142,1.35404,5.78768,0.338687
441.534,9.80732,3.33333,1.14124,1.36394,5.77728,0.266633
381.219,9.90925,3.33333,1.15675,1.35958,5.86766,0.287142
65.4281,9.34934,3.33333,1.16987,1.36229,5.26434,0.365592
428.065,9.93081,3.33333,1.14581,1.35652,5.90523,0.240573
386.431,9.70649,3.33333,1.13894,1.35762,5.68112,0.237444
352.616,9.61964,3.33333,1.15339,1.35428,5.5952,0.25311
202.674,9.81871,3.33333,1.14094,1.35795,5.79468,0.306358
371.921,9.79283,3.33333,1.17045,1.35166,5.7418,0.255777
136.432,9.66666,3.33333,1.17123,1.36078,5.58648,0.420189
463.988,9.95962,3.33333,1.15671,1.36386,5.91113,0.225284
114.698,9.53607,3.33333,1.15247,1.36786,5.47706,0.405793
430.915,9.7756,3.33333,1.17357,1.35414,5.72085,0.23303
554.89,9.90197,3.33333,1.15415,1.35306,5.88672,0.226335
427.73,9.8553,3.33333,1.14553,1.34864,5.85028,0.269677
298.009,9.70281,3.33333,1.16867,1.34429,5.67635,0.267362
183.645,9.46185,3.33333,1.16937,1.36172,5.38879,0.329365
263.272,9.66892,3.33333,1.16299,1.35174,5.61564,0.325088
212.633,9.555,3.33333,1.14641,1.35128,5.5297,0.35323
108.331,9.75721,3.33333,1.16764,1.36476,5.65652,0.37836
340.383,9.72836,3.33333,1.14016,1.35948,5.70547,0.243889
349.072,9.88786,3.33333,1.1441,1.36343,5.84213,0.256978
115.283,9.51879,3.33333,1.17177,1.35243,5.44625,0.396547
324.703,9.7139,3.33333,1.15242,1.34991,5.68917,0.301131
607.024,9.98901,3.33333,1.18845,1.35382,5.90319,0.231456
549.606,9.9596,3.33333,1.17283,1.35382,5.92379,0.257804
305.985,9.84206,3.33333,1.17818,1.35921,5.75753,0.273735
258.306,9.59884,3.33333,1.1671,1.34399,5.56027,0.305583
378.896,9.85435,3.33333,1.14173,1.36021,5.8293,0.221082
178.771,9.80428,3.33333,1.16937,1.36107,5.73078,0.250298
147.91,9.54054,3.33333,1.14081,1.35297,5.52802,0.335685
508.996,9.88248,3.33333,1.14424,1.35055,5.87955,0.247853
201.925,9.66304,3.33333,1.15527,1.34474,5.64578,0.28925
473.662,9.83701,3.33333,1.1724,1.35395,5.77419,0.226418
