Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP
24.4896,37.2364,60.7026,28.76,1.27705,7.19938
8.90783,32.3882,63.9318,25.0294,1.26878,6.09008
3.13813,31.0144,65.713,24.3557,1.27379,5.38495
8.13894,32.2236,64.3165,25.0191,1.2664,5.93814
5.98233,29.9459,64.7659,23.3118,1.26459,5.36947
1.46796,31.05,65.8527,24.9169,1.28088,4.85226
3.36391,33.0917,64.7449,26.0898,1.2749,5.727
7.20686,30.3885,63.819,23.6551,1.26779,5.46559
15.2936,32.1139,63.849,24.2584,1.261,6.59447
10.5449,31.7761,64.4424,24.5476,1.26694,5.96157
3.25442,30.5913,65.1643,24.376,1.27349,4.94183
3.24532,30.6837,64.4522,23.8953,1.26998,5.51842
2.20969,31.5244,65.4199,24.9337,1.27513,5.31565
3.71482,30.9003,65.7183,24.5814,1.27565,5.04325
1.98096,31.3503,66.7157,25.3876,1.26784,4.69478
5.81842,30.4421,64.6288,23.3662,1.26483,5.81104
13.2301,31.4946,64.2231,24.443,1.26944,5.78215
19.5594,34.2945,61.8485,26.503,1.26499,6.52652
50.5555,29.3726,55.4699,19.6812,1.19426,8.49712
2.57346,31.0037,65.3339,24.6156,1.26556,5.12249
4.7077,30.6628,65.212,24.136,1.26787,5.25884
10.878,33.0418,62.4716,25.1366,1.26034,6.64491
5.13406,31.6173,65.7281,25.2929,1.2743,5.05006
4.57505,31.5584,64.6046,24.5885,1.27295,5.69692
4.53834,31.0563,64.8726,24.5451,1.27616,5.23501
12.611,31.7614,63.6271,23.9287,1.26024,6.57246
8.61236,32.0967,65.4048,25.6079,1.2731,5.21568
21.9953,31.9969,63.2857,24.4991,1.25835,6.23943
11.7466,33.2932,63.3508,25.5498,1.26611,6.47725
4.33313,30.9209,65.1089,24.433,1.27441,5.21343
2.55363,31.4028,65.6412,25.0174,1.274,5.11146
1.4903,31.5015,66.1544,25.2891,1.27883,4.93363
10.6919,31.8084,63.4453,24.5893,1.26204,5.9571
53.4927,27.1809,52.7083,16.0516,1.14459,9.98467
4.39219,30.713,65.96,24.2783,1.27103,5.16358
5.38024,30.6311,65.3926,23.954,1.27274,5.4044
24.1665,32.6263,62.4134,24.4502,1.25969,6.91647
3.5532,30.8985,65.6725,24.3943,1.27262,5.23158
20.281,33.9053,62.4717,25.579,1.26503,7.06119
3.18618,30.7358,65.3247,24.2208,1.27145,5.24359
3.22895,30.6265,64.7391,24.2081,1.27515,5.14329
2.80147,31.7006,64.7116,24.8004,1.26615,5.63407
6.07256,32.6096,65.3815,25.5897,1.27579,5.7441
4.59954,31.1093,65.0432,24.2056,1.27043,5.6333
6.67553,31.3558,64.5892,24.878,1.27422,5.20357
13.5482,31.9328,63.8785,24.4937,1.26545,6.17365
5.6858,31.6533,65.2568,24.9837,1.2786,5.39096
2.62583,31.364,64.7769,24.4205,1.27666,5.66684
19.6063,32.4683,60.9139,23.2424,1.23863,7.98729
4.31185,32.27,64.1,24.9805,1.27476,6.01467
