Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
19.338,14.592,1.319,1.57,94.6667,0.901455,71.0188,4.11269
14.004,9.393,1.464,1.463,89.5556,0.588347,32.7011,5.81945
12.422,7.937,1.419,1.485,85.6296,1.29232,9.30199,0.907287
12.127,7.435,1.642,1.472,80.2963,1.38119,3.45712,0.246407
11.814,7.327,1.419,1.459,74.8148,0.338161,8.85853,5.90699
11.231,6.899,1.33,1.42,71.6296,1.2639,4.26296,0.999402
10.315,5.784,1.542,1.444,66.5926,0.789144,45.7434,1.47441
10.285,5.754,1.464,1.458,62,0.706913,22.5784,8.32267
9.836,5.407,1.33,1.461,58.1481,0.910895,15.4303,0.449619
9.545,5.078,1.319,1.493,53.1111,0.75263,17.9615,2.5074
9.329,4.978,1.317,1.398,48.6667,0.338588,1.97605,2.00922
9.255,4.642,1.516,1.486,45.5556,0.434649,38.632,19.2022
8.888,4.401,1.316,1.532,42.2963,0.376751,16.7424,11.8025
8.788,4.263,1.359,1.492,39.1111,0.831636,9.58368,2.41589
7.474,2.968,1.37,1.551,34.6667,0.897775,2.04634,1.95063
7.871,3.104,1.525,1.571,29.8519,0.16304,0.629797,0.823927
9.793,3.412,1.483,3.257,32.2222,0.910119,0.959878,0.72099
7.703,2.899,1.413,1.684,27.037,0.834756,11.546,0.791027
7.529,2.69,1.497,1.635,22.8148,0.385009,0.3148,0.522598
8.253,2.274,1.413,2.893,19.9259,1.28594,9.28592,1.81109
12.094,1.88,1.386,7.383,14.6667,0,0.0377361,0.88753
10.642,1.833,1.407,5.801,14.3704,1.33562,0.392961,0.638757
6.299,1.709,1.462,1.531,9.55556,0.110661,6.08365,2.8387
12.172,1.975,1.425,7.176,14.8148,0,0.341271,5.34969
6.23,1.746,1.44,1.46,14.7407,0.162184,1.61342,1.15922
6.829,2.407,1.325,1.515,18.963,0.406406,44.648,5.74112
12.372,2.082,1.345,7.413,16.0741,0,0.761795,13.6442
7,2.461,1.338,1.567,16.4444,0.42345,7.29153,0.362783
12.102,1.711,1.431,7.404,13.7778,0,0.115726,1.66417
12.466,1.986,1.374,7.535,13.4074,0,0.0254577,0.49538
6.656,2.082,1.369,1.512,13.2593,0.398911,2.33546,0.657214
8.175,1.95,1.437,3.131,10.5185,0.0582003,36.8391,19.1177
9.469,1.97,1.413,4.393,15.4074,0.141214,30.5429,31.1695
