Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
13.532,7.708,1.672,1.984,50,1.21982,94.0934,2.6223
16.925,5.297,1.707,7.906,50,4.44683,0.24583,1.26288
11.727,6.06,1.655,1.948,50,1.82403,2.52873,0.126785
11.367,5.796,1.645,1.962,50,1.18854,15.0469,0.523267
11.297,5.749,1.627,1.942,50,1.26342,6.48103,0.462374
11.033,5.445,1.685,1.965,50,0.763474,2.64712,0.155978
11.586,5.953,1.687,1.914,50,0.747421,2.48562,0.204345
10.705,5.09,1.693,2.013,50,1.31098,6.55457,0.398658
11.352,5.763,1.675,1.938,50,1.4668,4.0647,0.510944
10.753,5.167,1.668,1.996,50,0.624006,61.4808,4.10414
10.605,5.105,1.656,1.898,50,1.07488,13.0287,0.469832
10.982,5.31,1.703,2.037,50,1.73708,0.5272,0.241624
10.615,4.9,1.67,2.13,50,1.39654,3.22,0.33905
10.857,5.255,1.659,2.02,50,1.14899,18.5082,0.189582
11.063,5.328,1.689,2.041,50,0.76144,29.2225,0.610711
10.902,5.325,1.687,1.958,50,1.14566,5.5036,0.32475
11.01,5.139,1.689,2.164,50,1.86122,1.12106,0.342072
11.421,5.497,1.702,2.144,50,1.58227,0.332785,0.160528
11.307,5.492,1.68,2.129,50,1.60389,1.25436,0.157829
11.146,5.502,1.692,1.988,50,0.848106,34.562,0.518551
10.43,4.806,1.711,2.018,50,0.613064,73.9398,4.1729
10.621,4.927,1.675,1.996,50,0.86752,33.7226,2.76192
11.031,5.539,1.671,1.902,50,0.787949,56.0468,0.659603
10.262,4.672,1.697,2.039,50,0.882864,3.31724,0.732516
12.883,5.493,1.656,3.766,50,1.1673,0.664751,0.848834
10.774,5.246,1.636,1.966,50,1.10497,5.72426,0.154948
10.837,5.252,1.624,2.032,50,1.06622,1.18565,0.871385
10.922,5.328,1.663,1.953,50,1.71219,0.562711,0.105048
10.96,5.25,1.686,2.069,50,1.23048,0.340296,0.169077
11.193,5.408,1.67,2.149,50,1.23451,0.356697,0.24581
12.071,6.257,1.677,2.097,50,1.39649,2.98102,0.422299
11.372,5.655,1.701,2.023,50,1.15602,0.33252,0.228752
11.205,5.421,1.727,2.107,50,1.52327,2.90735,0.317197
11.155,5.186,1.7,2.002,50,1.25969,9.29113,3.42264
11.421,5.664,1.747,2.077,50,0.58449,55.2529,2.54102
13.076,5.62,1.719,3.729,50,0.623108,4.59519,6.75696
10.569,5.289,1.625,1.784,50,0.632976,92.1118,6.00635
10.775,5.346,1.671,1.837,50,0.668157,111.665,5.36332
9.969,4.772,1.632,1.763,50,0.629287,1.2902,0.827181
14.98,4.479,1.653,7.049,50,1.79328,0.10116,0.667946
9.636,4.397,1.625,1.862,50,0.630099,6.09509,0.654419
12.368,5.064,1.622,3.795,50,0.819964,0.195709,0.297916
12.435,5.173,1.645,3.772,50,1.35241,0.37916,0.298283
10.394,5.079,1.625,1.785,50,0.719644,90.0068,6.78499
10.126,4.749,1.606,1.911,50,0.681736,185.137,1.51374
10.198,4.76,1.637,1.933,50,0.786736,1.01625,1.62165
10.505,5.106,1.638,1.853,50,0.597602,110.046,9.28724
10.026,4.708,1.625,1.814,50,0.880425,89.6536,7.27975
9.682,4.38,1.66,1.875,50,1.09809,15.6579,3.78387
10.566,5.129,1.618,1.936,50,0.956383,18.588,0.388912
10.772,5.329,1.638,1.887,50,1.26338,2.31167,1.80552
10.824,5.451,1.652,1.823,50,0.989049,1.99083,1.14229
10.075,4.711,1.625,1.862,50,1.41187,6.09485,0.162652
10.249,4.986,1.622,1.838,50,1.77633,0.197606,0.0869642
12.697,5.476,1.645,3.664,50,1.12822,0.076337,0.1018
10.406,5.067,1.652,1.871,50,1.50372,6.08172,0.903704
10.243,4.849,1.613,1.952,50,1.2613,3.41847,0.335769
10.463,5.006,1.668,1.913,50,1.71799,1.20798,0.0888085
10.307,4.924,1.633,1.925,50,1.10882,6.17053,0.392944
10.683,5.317,1.619,1.863,50,0.607229,12.1684,2.13604
10.59,5.192,1.668,1.83,50,1.16566,5.74395,0.5366
10.488,5.171,1.68,1.776,50,0.946607,2.46634,0.152245
10.187,5.058,1.631,1.698,50,2.20385,0.287329,0.145149
9.967,4.58,1.641,1.983,50,0.615889,18.4943,2.25009
10.077,4.824,1.64,1.779,50,1.46081,2.28791,1.04385
9.775,4.49,1.619,1.841,50,0.672799,57.5165,2.69292
9.609,4.383,1.67,1.777,50,1.37642,2.52531,0.830313
13.158,4.48,1.619,5.235,50,2.9884,0.237328,0.407364
9.147,4.166,1.62,1.708,50,1.00727,15.6042,0.453034
9.295,4.248,1.645,1.709,50,1.40064,3.49261,0.941494
9.357,4.297,1.639,1.73,50,0.908781,2.49499,0.138538
9.434,4.294,1.656,1.806,50,1.41743,0.67156,0.0990066
10.099,4.871,1.644,1.787,50,1.37331,0.499839,0.295442
9.842,4.555,1.624,1.882,50,1.22401,0.740116,0.241579
10.299,5.106,1.632,1.716,50,1.16441,6.066,0.111533
16.247,4.433,1.644,8.388,50,4.85115,0.00652693,0.168183
9.486,4.467,1.581,1.743,50,1.12972,40.6981,1.60562
9.222,4.228,1.592,1.72,50,1.4253,2.16517,0.98293
9.776,4.703,1.586,1.643,50,0.616308,94.7178,1.75838
9.114,4.102,1.601,1.731,50,0.878681,0.994344,0.584432
9.693,4.542,1.588,1.808,50,1.94926,0.443299,0.0769405
11.882,4.914,1.591,3.575,50,1.60574,0.344629,0.22823
10.353,5.069,1.611,1.848,50,1.66695,6.62845,0.361851
10.074,4.851,1.598,1.815,50,1.30654,5.43672,0.698167
10.298,4.894,1.624,1.9,50,1.54347,11.4492,0.352083
10.04,4.843,1.622,1.762,50,1.49695,0.350004,0.10814
10.156,4.878,1.624,1.899,50,0.833231,5.39779,0.105741
12.338,5.327,2.033,3.102,50,0.0404356,14.838,21.1972
11.195,4.564,1.605,1.867,50,1.06138,3.08287,0.492657
9.339,4.207,1.629,1.784,50,1.3187,8.31039,0.455502
13.893,5.192,1.66,5.267,50,1.16707,0.34278,0.423873
9.874,4.714,1.604,1.754,50,0.657468,0.347364,0.42338
9.788,4.616,1.586,1.811,50,1.34579,0.730952,0.360485
9.991,4.662,1.647,1.888,50,0.362629,0.51647,0.893434
10.608,5.204,1.624,1.863,50,0.33659,0.264646,0.465746
10.735,5.168,1.67,2.054,50,0.869847,16.7113,4.50087
10.278,4.906,1.657,1.891,50,1.97843,1.33677,0.375994
10.26,4.875,1.627,1.957,50,0.71873,1.84637,1.05214
10.713,5.337,1.633,1.833,50,2.2024,0.677304,0.126924
10.73,5.281,1.639,1.923,50,0.71208,0.209556,0.186238
10.582,5.114,1.613,1.949,50,1.48868,0.33652,0.0936095
11.376,5.839,1.612,1.92,50,1.42796,1.67698,0.367482
10.646,5.258,1.644,1.829,50,1.44117,0.373358,0.276752
10.055,4.684,1.627,1.897,50,1.42494,4.70293,1.16369
