baseline,baseline,baseline,baseline,baseline,baseline,SI2,SI2,SI2,SI2,SI2,SI2,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,
final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
0.00584979,46.4492,19.7164,0.632967,1.17948,100,0.144668,78.1382,8.20581,0.649032,3.943,52,0.035682,109.771,6.8689,0.644476,1.59651,24.5776,
0.900795,37.4815,23.0119,0.718979,2.949,100,9.29188,62.8566,10.2863,0.655167,4.96776,52,0.626781,104.405,6.85473,0.640335,2.08304,29.546,
0.0059097,53.9857,16.5758,0.707124,1.24049,100,7.24859,58.829,14.4502,0.690077,1.85819,52,4.67803,89.964,7.6915,0.639891,2.78417,26.696,
0.00487017,50.7092,17.7467,0.701671,1.27197,100,0.124529,83.791,9.54145,0.669708,1.72329,52,0.0345069,105.518,7.22916,0.661711,1.58622,24.5818,
0.00264564,47.0351,19.0017,0.691511,1.56749,100,2.97343,50.5143,14.733,0.642611,4.42082,52,0.0412159,99.9966,7.50022,0.651731,1.84839,26.3033,
0.0231609,49.3807,18.2697,0.688848,1.29231,100,2.41985,67.9087,9.42719,0.612737,4.68572,52,0.132121,102.367,6.63306,0.640356,2.49531,29.1533,
0.00438927,46.7786,19.313,0.70538,1.35894,100,5.54027,60.7499,11.7051,0.647582,4.10824,52,0.0179897,103.979,6.63654,0.638166,2.34266,24.8662,
0.640567,49.3229,17.4789,0.692889,2.10275,100,2.50043,58.2275,12.9799,0.675347,3.51872,52,6.10261,96.1641,7.76833,0.656532,1.97403,25.9329,
0.00531255,50.3387,17.6693,0.698402,1.49776,100,0.048586,66.5065,11.5955,0.67338,2.76727,52,0.23127,90.5602,8.40883,0.681865,1.95168,27.2171,
0.00145785,49.8067,18.0181,0.70981,1.34973,100,0.746191,72.0037,10.6778,0.677316,2.53303,52,8.1088,88.0766,8.00918,0.655603,2.68898,28.9973,
0.00759775,45.9838,19.549,0.714796,1.48295,100,1.41379,56.2741,14.6077,0.68538,2.47705,52,0.324731,50.591,16.8421,0.646526,2.27774,26.6051,
0.00645009,30.3211,30.1139,0.721889,2.14454,100,2.56895,68.0857,10.2688,0.665019,3.75357,52,1.19707,91.6393,7.33009,0.638125,2.94413,26.2813,
0.0465799,33.4618,23.9545,0.725976,5.20431,100,7.43344,60.7905,12.216,0.674462,3.55947,52,0.0942772,114.711,6.4505,0.638355,1.62867,24.7027,
0.00481761,53.993,16.1719,0.695273,1.65373,100,0.738,65.359,11.8095,0.676225,2.81435,52,0.0173906,109.285,6.91785,0.639921,1.59262,24.1862,
0.0193858,43.6643,20.8056,0.718982,1.37738,100,0.261395,69.5708,10.8038,0.666165,2.90392,52,0.390325,117.279,6.08005,0.618182,1.82842,27.0618,
2.51509,27.492,31.5123,0.621407,4.2405,100,21.1332,63.0751,10.5011,0.596846,4.75617,52,7.10619,87.0159,7.42223,0.597363,3.47257,28.1349,
0.00422037,46.9704,19.5325,0.647913,1.10962,100,2.0565,70.309,10.5762,0.606844,3.03989,52,0.0184201,125.046,6.09947,0.596298,1.30129,24.772,
0.00815855,54.8684,16.0555,0.66224,1.5077,100,2.98826,59.9603,12.6552,0.611243,3.41127,52,0.319352,99.7175,6.81621,0.59975,2.61236,25.93,
0.00948737,47.5465,19.2795,0.634927,1.11757,100,1.60763,69.2709,9.98622,0.595056,3.85479,52,0.129199,112.518,6.41217,0.594788,1.88051,25.8504,
0.0112258,56.0247,16.0981,0.613692,1.13744,100,0.307289,74.9997,10.5287,0.593762,2.21098,52,0.33032,104.986,6.63696,0.591313,2.29684,25.9564,
0.00177898,55.5964,16.1383,0.60588,1.24263,100,1.69572,76.5104,10.5284,0.610756,1.93095,52,0.930722,89.2407,7.97967,0.597224,2.62875,24.9347,
4.57647,27.417,31.717,0.63963,4.11704,100,9.11218,64.3856,10.4744,0.596412,4.46061,52,0.130882,113.132,6.44675,0.600197,1.79225,31.5947,
0.00758244,43.2367,21.1523,0.653497,1.32271,100,0.0832809,75.0155,9.89087,0.608668,2.83103,52,0.265499,111.638,6.87725,0.59508,1.48521,25.264,
0.0311456,56.1034,15.4215,0.640112,1.76261,100,0.566993,26.7947,34.7846,0.723375,1.81277,52,8.59671,54.6062,12.2751,0.661597,5.37622,23.5331,
1.45496,33.2634,26.0772,0.724925,3.26091,100,0.103365,68.5604,9.99983,0.659481,3.92636,52,0.0119665,96.2522,7.9706,0.642954,1.77582,25.3013,
0.0164155,51.7688,17.2932,0.703715,1.31975,100,0.015871,68.7359,12.0931,0.676047,1.77932,52,0.0452023,98.498,8.14627,0.651212,1.35501,25.2122,
0.0100921,47.4085,18.9183,0.704513,1.47045,100,9.68927,64.4899,11.0439,0.666853,3.79559,52,0.125223,81.5322,8.03393,0.63285,3.59831,23.9498,
0.0223342,53.2816,16.7132,0.700858,1.35419,100,0.416966,70.2269,10.9707,0.661062,2.60783,52,0.0210256,104.677,7.0306,0.651868,1.87076,24.1724,
0.00692414,44.9346,20.1819,0.709257,1.36343,100,6.96548,48.1366,16.0242,0.675898,4.07415,52,0.0361294,92.0917,7.94558,0.647345,2.26581,24.2516,
0.0111424,51.5799,16.9809,0.701283,1.70526,100,3.63807,48.8189,14.8506,0.661622,4.97162,52,0.0648967,105.752,7.1648,0.705842,1.58541,27.1296,
0.00396372,46.6957,19.2174,0.722324,1.47549,100,0.156465,67.6825,12.1066,0.70251,1.96579,52,0.0103085,107.126,6.74315,0.664395,1.92728,24.2849,
0.0144467,48.175,18.5263,0.724039,1.50731,100,0.677714,49.8977,15.0149,0.67726,4.3489,52,0.105273,69.228,9.37179,0.652102,4.42113,23.966,
0.00377015,45.4154,19.7762,0.725025,1.51777,100,2.28274,55.3199,14.7795,0.69978,2.59738,52,1.93253,95.2221,6.60233,0.651631,3.2478,24.4229,
2.19093,42.749,19.6183,0.713009,3.06106,100,1.63194,58.0431,12.8883,0.670835,3.66942,52,0.199607,71.9121,9.05638,0.648408,4.20108,25.77,
8.01705,38.5936,22.5024,0.676113,2.73253,100,2.46525,61.7514,10.6965,0.649379,4.84808,52,0.0362085,95.1034,7.90036,0.684909,1.92959,25.2107,
